OTU,Domain,Phylum,Class,Order,Family,Genus,Species,taxonomy
OTU307,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,?,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridia vadinBB60 group
OTU308,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae
OTU309,Bacteria,Firmicutes,Bacilli,RF39,?,?,?,k_Bacteria|p_Firmicutes|c_Bacilli|o_RF39
OTU310,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_[Eubacterium] coprostanoligenes group
OTU311,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Christensenellales|f_Christensenellaceae|g_Christensenellaceae R-7 group
OTU312,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,uncultured rumen bacterium,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_UCG-010|g_uncultured rumen bacterium
OTU313,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae RC9 gut group,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Rikenellaceae RC9 gut group
OTU314,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae
OTU315,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae
OTU316,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,ASF356,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae|g_ASF356
OTU317,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_Ruminococcaceae
OTU318,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,?,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridia UCG-014
OTU319,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,uncultured Clostridiales bacterium,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridia vadinBB60 group|f_uncultured Clostridiales bacterium
OTU320,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Coriobacteriaceae UCG-002,?,k_Bacteria|p_Actinobacteriota|c_Coriobacteriia|o_Coriobacteriales|f_Atopobiaceae|g_Coriobacteriaceae UCG-002
OTU321,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Succinivibrionaceae,Succinivibrio,?,k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Succinivibrionaceae|g_Succinivibrio
OTU322,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Alloprevotella
OTU323,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,?,?,k_Bacteria|p_Actinobacteriota|c_Coriobacteriia|o_Coriobacteriales|f_Eggerthellaceae
OTU324,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas
OTU325,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,Oxalobacter formigenes,k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Burkholderiales|f_Oxalobacteraceae|g_Oxalobacter|s_Oxalobacter formigenes
OTU326,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,?,?,k_Bacteria|p_Firmicutes|c_Bacilli|o_Erysipelotrichales|f_Erysipelotrichaceae
OTU327,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sartorii,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides sartorii
OTU328,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,Ruminococcus bicirculans,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_Ruminococcaceae|g_Ruminococcus|s_Ruminococcus bicirculans
OTU329,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae
OTU330,Bacteria,Fusobacteriota,Fusobacteriia,?,?,?,?,k_Bacteria|p_Fusobacteriota|c_Fusobacteriia
OTU331,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus,Agathobaculum butyriciproducens,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_Butyricicoccaceae|g_Butyricicoccus|s_Agathobaculum butyriciproducens
OTU332,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,uncultured organism,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_uncultured organism
OTU333,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae
OTU334,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_Ruminococcaceae
OTU335,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,uncultured archaeon,k_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae|g_Methanobrevibacter|s_uncultured archaeon
OTU336,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae|g_Lachnospiraceae NK4A136 group
OTU337,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_Oscillospiraceae
OTU338,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_Oscillospiraceae|g_Colidextribacter
OTU339,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,?,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridia UCG-014
OTU340,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,gut metagenome,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_[Eubacterium] coprostanoligenes group|g_gut metagenome
OTU341,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae
OTU342,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Quinella,?,k_Bacteria|p_Firmicutes|c_Negativicutes|o_Veillonellales-Selenomonadales|f_Selenomonadaceae|g_Quinella
OTU343,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_[Eubacterium] coprostanoligenes group
OTU344,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,CAG-352,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_Ruminococcaceae|g_CAG-352
OTU345,Bacteria,Firmicutes,Bacilli,?,?,?,?,k_Bacteria|p_Firmicutes|c_Bacilli
OTU346,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae|g_Lachnospiraceae NK4A136 group
OTU347,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_Ruminococcaceae|g_Ruminococcus
OTU348,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae
OTU349,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group,metagenome,k_Bacteria|p_Firmicutes|c_Clostridia|o_Christensenellales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_metagenome
OTU350,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,?,?,?,k_Bacteria|p_Verrucomicrobiota|c_Kiritimatiellae|o_WCHB1-41
OTU351,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,?,k_Bacteria|p_Firmicutes|c_Bacilli|o_Erysipelotrichales|f_Erysipelatoclostridiaceae|g_Catenibacterium
OTU352,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae|g_Roseburia
OTU353,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides
OTU354,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,?,k_Bacteria|p_Spirochaetota|c_Spirochaetia|o_Spirochaetales|f_Spirochaetaceae|g_Treponema
OTU355,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,DNF00809,?,k_Bacteria|p_Actinobacteriota|c_Coriobacteriia|o_Coriobacteriales|f_Eggerthellaceae|g_DNF00809
OTU356,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae
OTU357,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae RC9 gut group,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Rikenellaceae RC9 gut group
OTU358,Bacteria,Firmicutes,Bacilli,Lactobacillales,?,?,?,k_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales
OTU359,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] ventriosum group,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae|g_[Eubacterium] ventriosum group
OTU360,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes
OTU361,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,Bacteroidales bacterium,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae|g_CAG-873|s_Bacteroidales bacterium
OTU362,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_Oscillospiraceae
OTU363,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae
OTU364,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,?,k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas
OTU365,Bacteria,Bacteroidota,?,?,?,?,?,k_Bacteria|p_Bacteroidota
OTU366,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae|g_Lachnospiraceae NK4A136 group
OTU367,Bacteria,Firmicutes,Clostridia,?,?,?,?,k_Bacteria|p_Firmicutes|c_Clostridia
OTU368,Bacteria,Firmicutes,Clostridia,Oscillospirales,?,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales
OTU369,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,?,k_Bacteria|p_Firmicutes|c_Negativicutes|o_Veillonellales-Selenomonadales|f_Veillonellaceae|g_Veillonella
OTU370,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,?,?,?,k_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodospirillales
OTU371,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,?,k_Bacteria|p_Firmicutes|c_Negativicutes|o_Acidaminococcales|f_Acidaminococcaceae|g_Phascolarctobacterium
OTU372,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae
OTU373,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,?,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridia UCG-014
OTU374,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae|g_Lachnospiraceae NK4A136 group
OTU375,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,?,k_Bacteria|p_Campylobacterota|c_Campylobacteria|o_Campylobacterales|f_Helicobacteraceae|g_Helicobacter
OTU376,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae
OTU377,Bacteria,Bacteroidota,Bacteroidia,?,?,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia
OTU378,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_UCG-010
OTU379,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,?,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales
OTU380,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,?,k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Burkholderiales|f_Sutterellaceae|g_Sutterella
OTU381,Bacteria,Firmicutes,Bacilli,RF39,?,?,?,k_Bacteria|p_Firmicutes|c_Bacilli|o_RF39
OTU382,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,?,?,k_Bacteria|p_Actinobacteriota|c_Coriobacteriia|o_Coriobacteriales|f_Eggerthellaceae
OTU383,Bacteria,Bacteroidota,Bacteroidia,?,?,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia
OTU384,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Anaerovorax,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Peptostreptococcales-Tissierellales|f_Anaerovoracaceae|g_Anaerovorax
OTU385,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides
OTU386,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,?,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridia vadinBB60 group
OTU387,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter rodentium,k_Bacteria|p_Campylobacterota|c_Campylobacteria|o_Campylobacterales|f_Helicobacteraceae|g_Helicobacter|s_Helicobacter rodentium
OTU388,Bacteria,Firmicutes,Bacilli,RF39,?,?,?,k_Bacteria|p_Firmicutes|c_Bacilli|o_RF39
OTU389,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae
OTU390,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Neisseria perflava,k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Burkholderiales|f_Neisseriaceae|g_Neisseria|s_Neisseria perflava
OTU391,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,gut metagenome,k_Bacteria|p_Spirochaetota|c_Spirochaetia|o_Spirochaetales|f_Spirochaetaceae|g_Treponema|s_gut metagenome
OTU392,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,?,k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas
OTU393,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,?,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridia vadinBB60 group
OTU394,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII UCG-001,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Peptostreptococcales-Tissierellales|f_Anaerovoracaceae|g_Family XIII UCG-001
OTU395,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae|g_Roseburia
OTU396,Bacteria,Firmicutes,Bacilli,RF39,?,?,?,k_Bacteria|p_Firmicutes|c_Bacilli|o_RF39
OTU397,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales,?,?,?,k_Bacteria|p_Cyanobacteria|c_Vampirivibrionia|o_Gastranaerophilales
OTU398,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae
OTU399,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_Oscillospiraceae|g_Colidextribacter
OTU400,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae
OTU401,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae
OTU402,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_Butyricicoccaceae|g_Butyricicoccus
OTU403,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae
OTU404,Bacteria,Bacteroidota,?,?,?,?,?,k_Bacteria|p_Bacteroidota
OTU405,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae RC9 gut group,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Rikenellaceae RC9 gut group
OTU406,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae|g_Lachnospiraceae NK4A136 group
OTU407,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,UCG-009,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_Butyricicoccaceae|g_UCG-009
OTU408,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae
OTU409,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Anaerovorax,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Peptostreptococcales-Tissierellales|f_Anaerovoracaceae|g_Anaerovorax
OTU410,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,?,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridia vadinBB60 group
OTU411,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_Oscillospiraceae
OTU412,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,k_Bacteria|p_Campylobacterota|c_Campylobacteria|o_Campylobacterales|f_Campylobacteraceae|g_Campylobacter|s_Campylobacter jejuni
OTU413,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_Ruminococcaceae
OTU414,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,uncultured Ruminococcaceae bacterium,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_UCG-010|g_uncultured Ruminococcaceae bacterium
OTU415,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,UCG-004,?,k_Bacteria|p_Firmicutes|c_Bacilli|o_Erysipelotrichales|f_Erysipelatoclostridiaceae|g_UCG-004
OTU416,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,?,k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Burkholderiales|f_Oxalobacteraceae|g_Oxalobacter
OTU417,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae NK3B31 group,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotellaceae NK3B31 group
OTU418,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214 group,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_Oscillospiraceae|g_NK4A214 group
OTU419,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,?,k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Xanthomonadales|f_Xanthomonadaceae|g_Stenotrophomonas
OTU420,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214 group,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales|f_Oscillospiraceae|g_NK4A214 group
OTU421,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae|g_Roseburia
OTU422,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus,?,k_Bacteria|p_Actinobacteriota|c_Coriobacteriia|o_Coriobacteriales|f_Eggerthellaceae|g_Enterorhabdus
OTU423,Bacteria,Firmicutes,Clostridia,?,?,?,?,k_Bacteria|p_Firmicutes|c_Clostridia
OTU424,Bacteria,Proteobacteria,Gammaproteobacteria,?,?,?,?,k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria
OTU425,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,?,k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Moraxellaceae|g_Acinetobacter
OTU426,Bacteria,Bacteroidota,Bacteroidia,?,?,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia
OTU427,Bacteria,Firmicutes,Clostridia,Monoglobales,Monoglobaceae,Monoglobus,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Monoglobales|f_Monoglobaceae|g_Monoglobus
OTU428,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK3A20 group,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae|g_Lachnospiraceae NK3A20 group
OTU429,Bacteria,Firmicutes,Clostridia,Oscillospirales,?,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Oscillospirales
OTU430,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,?,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales
OTU431,Bacteria,Firmicutes,Clostridia,Peptococcales,Peptococcaceae,?,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Peptococcales|f_Peptococcaceae
OTU432,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Sarcina,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Clostridiaceae|g_Sarcina
OTU433,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,?,k_Bacteria|p_Firmicutes|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae|g_Lachnospiraceae NK4A136 group
OTU434,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae
OTU435,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus,?,k_Bacteria|p_Actinobacteriota|c_Coriobacteriia|o_Coriobacteriales|f_Eggerthellaceae|g_Enterorhabdus
OTU436,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia buccalis,k_Bacteria|p_Fusobacteriota|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_Leptotrichia buccalis
OTU437,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,?,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Marinifilaceae
OTU438,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter muridarum,k_Bacteria|p_Campylobacterota|c_Campylobacteria|o_Campylobacterales|f_Helicobacteraceae|g_Helicobacter|s_Helicobacter muridarum
OTU439,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,?,k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Alloprevotella
