,description,SampleID,Group,relative_abundance
5604,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AC4,CMY,0.0043174096487624
5613,"myo-, chiro- and scillo-inositol degradation",AC4,CMY,0.0001572116951249
5626,"1,4-dihydroxy-6-naphthoate biosynthesis I",AC4,CMY,0.0003099892506291
5666,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AC4,CMY,0.0027216553590248
5675,pyridoxal 5'-phosphate biosynthesis I,AC4,CMY,0.0027669578220602
5676,TCA cycle VIII (helicobacter),AC4,CMY,0.0038181955995662
5712,biotin biosynthesis I,AC5,CMY,0.0027145160557887
5717,pyruvate fermentation to butanoate,AC5,CMY,0.0011276823426463
5732,fatty acid &beta;-oxidation I,AC5,CMY,0.0007028891060174
5766,L-methionine biosynthesis III,AC5,CMY,0.0018787485211039
5780,NAD biosynthesis II (from tryptophan),AC5,CMY,9.093236269368192e-05
5789,pyruvate fermentation to propanoate I,AC5,CMY,0.0040074598711387
5792,"superpathway of (R,R)-butanediol biosynthesis",AC5,CMY,9.919450153380997e-05
5821,"superpathway of histidine, purine, and pyrimidine biosynthesis",AC5,CMY,0.0048010384431865
5824,superpathway of taurine degradation,AC5,CMY,4.520986766367611e-06
5826,photorespiration,AC5,CMY,0.0001435617258747
5837,biotin biosynthesis II,AC5,CMY,0.0001472000658974
5876,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AC5,CMY,5.710395864597066e-05
5907,superpathway of heme biosynthesis from glycine,AC5,CMY,0.0010136055321334
5932,superpathway of menaquinol-8 biosynthesis II,AC5,CMY,0.0006384491441843
5946,"superpathway of 2,3-butanediol biosynthesis",AC5,CMY,0.0002260348911896
5954,8-amino-7-oxononanoate biosynthesis I,AC5,CMY,0.0027993400446728
5958,chondroitin sulfate degradation I (bacterial),AC5,CMY,0.0001860080638636
5960,superpathway of Clostridium acetobutylicum acidogenic fermentation,AC5,CMY,0.0013962681339956
5979,isopropanol biosynthesis,AC5,CMY,2.641418648955469e-05
5984,superpathway of glucose and xylose degradation,AC5,CMY,0.0035766349188539
6011,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AC5,CMY,0.0037265049437738
6020,"myo-, chiro- and scillo-inositol degradation",AC5,CMY,9.7284360704699e-05
6033,"1,4-dihydroxy-6-naphthoate biosynthesis I",AC5,CMY,0.0001932649271165
6073,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AC5,CMY,0.0024471746886055
6082,pyridoxal 5'-phosphate biosynthesis I,AC5,CMY,0.0020997221260315
6083,TCA cycle VIII (helicobacter),AC5,CMY,0.0024602194274407
6119,biotin biosynthesis I,AC6,CMY,0.0031688206904982
6124,pyruvate fermentation to butanoate,AC6,CMY,0.0009955228765151
6139,fatty acid &beta;-oxidation I,AC6,CMY,0.0006198445722064
6173,L-methionine biosynthesis III,AC6,CMY,0.0015405816098102
6187,NAD biosynthesis II (from tryptophan),AC6,CMY,2.6873405233758697e-05
6196,pyruvate fermentation to propanoate I,AC6,CMY,0.0044190509269646
6199,"superpathway of (R,R)-butanediol biosynthesis",AC6,CMY,9.125103490355078e-05
6228,"superpathway of histidine, purine, and pyrimidine biosynthesis",AC6,CMY,0.0044784789383605
6231,superpathway of taurine degradation,AC6,CMY,2.635835373992177e-05
6233,photorespiration,AC6,CMY,0.0001575478651897
6244,biotin biosynthesis II,AC6,CMY,0.0001005402921208
6283,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AC6,CMY,1.681931661449928e-05
6314,superpathway of heme biosynthesis from glycine,AC6,CMY,0.0009842117771635
6339,superpathway of menaquinol-8 biosynthesis II,AC6,CMY,0.000606588666165
6353,"superpathway of 2,3-butanediol biosynthesis",AC6,CMY,0.0001931078806957
6361,8-amino-7-oxononanoate biosynthesis I,AC6,CMY,0.003255519361675
6365,chondroitin sulfate degradation I (bacterial),AC6,CMY,0.0001344612443443
6367,superpathway of Clostridium acetobutylicum acidogenic fermentation,AC6,CMY,0.0012366969717993
6386,isopropanol biosynthesis,AC6,CMY,2.4434234941161937e-05
6391,superpathway of glucose and xylose degradation,AC6,CMY,0.0039864805632594
6418,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AC6,CMY,0.0035323738136415
6427,"myo-, chiro- and scillo-inositol degradation",AC6,CMY,9.230445415237104e-05
6440,"1,4-dihydroxy-6-naphthoate biosynthesis I",AC6,CMY,0.0001908451610724
6480,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AC6,CMY,0.0028241331920775
6489,pyridoxal 5'-phosphate biosynthesis I,AC6,CMY,0.0025548169370392
6490,TCA cycle VIII (helicobacter),AC6,CMY,0.002213667764423
6526,biotin biosynthesis I,AC7,CMY,0.0032366679627953
6531,pyruvate fermentation to butanoate,AC7,CMY,0.0012868476824103
6546,fatty acid &beta;-oxidation I,AC7,CMY,0.0008686250747176
6580,L-methionine biosynthesis III,AC7,CMY,0.0022567944488619
6594,NAD biosynthesis II (from tryptophan),AC7,CMY,5.3614869202647295e-05
6603,pyruvate fermentation to propanoate I,AC7,CMY,0.0047473901379932
6606,"superpathway of (R,R)-butanediol biosynthesis",AC7,CMY,0.0001124536434315
6635,"superpathway of histidine, purine, and pyrimidine biosynthesis",AC7,CMY,0.0048656139829976
6638,superpathway of taurine degradation,AC7,CMY,2.30307632612334e-05
6640,photorespiration,AC7,CMY,0.0001889755265271
6651,biotin biosynthesis II,AC7,CMY,9.474413326285945e-05
6690,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AC7,CMY,3.3602685980011484e-05
6721,superpathway of heme biosynthesis from glycine,AC7,CMY,0.0011752469288338
6746,superpathway of menaquinol-8 biosynthesis II,AC7,CMY,0.0009515669611162
6760,"superpathway of 2,3-butanediol biosynthesis",AC7,CMY,0.0002403730854912
6768,8-amino-7-oxononanoate biosynthesis I,AC7,CMY,0.0032297593677849
6772,chondroitin sulfate degradation I (bacterial),AC7,CMY,0.0003230092690156
6774,superpathway of Clostridium acetobutylicum acidogenic fermentation,AC7,CMY,0.0015843585232871
6793,isopropanol biosynthesis,AC7,CMY,2.9891991990837925e-05
6798,superpathway of glucose and xylose degradation,AC7,CMY,0.0042753497659524
6825,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AC7,CMY,0.0039453420692874
6834,"myo-, chiro- and scillo-inositol degradation",AC7,CMY,0.0001218811688482
6847,"1,4-dihydroxy-6-naphthoate biosynthesis I",AC7,CMY,0.0003283703535882
6887,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AC7,CMY,0.0025951138679544
6896,pyridoxal 5'-phosphate biosynthesis I,AC7,CMY,0.0023482234506482
6897,TCA cycle VIII (helicobacter),AC7,CMY,0.0031454469050452
6933,biotin biosynthesis I,AC8,CMY,0.0029431402021917
6938,pyruvate fermentation to butanoate,AC8,CMY,0.0008492769022132
6953,fatty acid &beta;-oxidation I,AC8,CMY,0.0004658230658028
6987,L-methionine biosynthesis III,AC8,CMY,0.0014390780227721
7001,NAD biosynthesis II (from tryptophan),AC8,CMY,6.582243387375182e-05
7010,pyruvate fermentation to propanoate I,AC8,CMY,0.0044094823575131
7013,"superpathway of (R,R)-butanediol biosynthesis",AC8,CMY,8.730539473796523e-05
7042,"superpathway of histidine, purine, and pyrimidine biosynthesis",AC8,CMY,0.0045160174858718
7045,superpathway of taurine degradation,AC8,CMY,2.0059806792080608e-05
7047,photorespiration,AC8,CMY,0.0001844153382173
7058,biotin biosynthesis II,AC8,CMY,9.127106877070682e-05
7097,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AC8,CMY,4.129835785250029e-05
7128,superpathway of heme biosynthesis from glycine,AC8,CMY,0.0006522617961519
7153,superpathway of menaquinol-8 biosynthesis II,AC8,CMY,0.0008394045344732
7167,"superpathway of 2,3-butanediol biosynthesis",AC8,CMY,0.0002103822396351
7175,8-amino-7-oxononanoate biosynthesis I,AC8,CMY,0.0029237532476898
7179,chondroitin sulfate degradation I (bacterial),AC8,CMY,0.0002101254773648
7181,superpathway of Clostridium acetobutylicum acidogenic fermentation,AC8,CMY,0.001062969740924
7200,isopropanol biosynthesis,AC8,CMY,5.866264722290593e-05
7205,superpathway of glucose and xylose degradation,AC8,CMY,0.0043206419765
7232,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AC8,CMY,0.0032862139976086
7241,"myo-, chiro- and scillo-inositol degradation",AC8,CMY,0.0001289527287356
7254,"1,4-dihydroxy-6-naphthoate biosynthesis I",AC8,CMY,0.0003015619186849
7294,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AC8,CMY,0.0027607244974999
7303,pyridoxal 5'-phosphate biosynthesis I,AC8,CMY,0.0023092815903127
7304,TCA cycle VIII (helicobacter),AC8,CMY,0.0017600349680615
7340,biotin biosynthesis I,AC9,CMY,0.0026957400607052
7345,pyruvate fermentation to butanoate,AC9,CMY,0.0011091338150705
7360,fatty acid &beta;-oxidation I,AC9,CMY,0.0006256336748755
7394,L-methionine biosynthesis III,AC9,CMY,0.0017466950295741
7408,NAD biosynthesis II (from tryptophan),AC9,CMY,4.438176498819356e-05
7417,pyruvate fermentation to propanoate I,AC9,CMY,0.004224928308796
7420,"superpathway of (R,R)-butanediol biosynthesis",AC9,CMY,0.0001554144558327
7449,"superpathway of histidine, purine, and pyrimidine biosynthesis",AC9,CMY,0.0047110275596739
7452,superpathway of taurine degradation,AC9,CMY,2.182961416779121e-05
7454,photorespiration,AC9,CMY,0.0001556175542783
7465,biotin biosynthesis II,AC9,CMY,0.0001685991961487
7504,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AC9,CMY,2.780412159098852e-05
7535,superpathway of heme biosynthesis from glycine,AC9,CMY,0.0008736488505092
7560,superpathway of menaquinol-8 biosynthesis II,AC9,CMY,0.0008416837098255
7574,"superpathway of 2,3-butanediol biosynthesis",AC9,CMY,0.0003218692469915
7582,8-amino-7-oxononanoate biosynthesis I,AC9,CMY,0.002675846184318
7586,chondroitin sulfate degradation I (bacterial),AC9,CMY,0.0002204928321662
7588,superpathway of Clostridium acetobutylicum acidogenic fermentation,AC9,CMY,0.0013736950942176
7607,isopropanol biosynthesis,AC9,CMY,6.890301830369531e-05
7612,superpathway of glucose and xylose degradation,AC9,CMY,0.003804209315099
7639,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AC9,CMY,0.0036985625626851
7648,"myo-, chiro- and scillo-inositol degradation",AC9,CMY,0.0001373673522851
7661,"1,4-dihydroxy-6-naphthoate biosynthesis I",AC9,CMY,0.0002735313450929
7701,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AC9,CMY,0.002390464069628
7710,pyridoxal 5'-phosphate biosynthesis I,AC9,CMY,0.0020665840132322
7711,TCA cycle VIII (helicobacter),AC9,CMY,0.0022827739448243
