pathway	description	#SampleID	Abundance	Group	relative_abundance
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	AB2	6.414055944562489	CN	7.160000623336805e-07
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	AB2	1592.8108806070393	CN	0.00017780522958600362
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	AB2	36771.94713928715	CN	0.004104846710322281
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	AB2	33266.5504167661	CN	0.003713539822212412
ARO-PWY	chorismate biosynthesis I	AB2	56150.87787300819	CN	0.006268113718472893
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	AB2	73707.6877832354	CN	0.008227977663962804
AST-PWY	L-arginine degradation II (AST pathway)	AB2	296.00385796566087	CN	3.304286438818701e-05
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	AB2	24474.46127227083	CN	0.002732080285546134
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	AB2	59568.90883392576	CN	0.006649667980273514
CALVIN-PWY	Calvin-Benson-Bassham cycle	AB2	81621.60088521177	CN	0.009111406546294594
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	AB2	8.851063829787234	CN	9.880428715654621e-07
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	AB2	0.0	CN	0.0
CENTFERM-PWY	pyruvate fermentation to butanoate	AB2	5546.521847906851	CN	0.000619157366752172
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	AB2	0.0	CN	0.0
COA-PWY	coenzyme A biosynthesis I	AB2	75035.94044362806	CN	0.008376250300786663
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	AB2	40391.80519427758	CN	0.004508930899081101
CODH-PWY	reductive acetyl coenzyme A pathway	AB2	4842.427463882531	CN	0.0005405594207399323
COLANSYN-PWY	colanic acid building blocks biosynthesis	AB2	46899.67086763005	CN	0.005235402926773623
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	AB2	59121.33924459641	CN	0.006599705856988615
CRNFORCAT-PWY	creatinine degradation I	AB2	107.41288430343558	CN	1.1990483482124703e-05
DAPLYSINESYN-PWY	L-lysine biosynthesis I	AB2	42121.72791322367	CN	0.0047020419017451635
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	AB2	47.352839931153184	CN	5.285990118487367e-06
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	AB2	62606.34239285862	CN	0.00698873621359225
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	AB2	13.009984364172308	CN	1.452302520623396e-06
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	AB2	74531.38086806943	CN	0.008319926394248663
ECASYN-PWY	enterobacterial common antigen biosynthesis	AB2	4.977658308064508	CN	5.556552187343067e-07
ENTBACSYN-PWY	enterobactin biosynthesis	AB2	15.988212883234738	CN	1.7847617045973675e-06
FAO-PWY	fatty acid &beta;-oxidation I	AB2	3136.736079190543	CN	0.000350153358130388
FASYN-ELONG-PWY	fatty acid elongation -- saturated	AB2	77479.01173789894	CN	0.008648969967422326
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	AB2	41372.10430991938	CN	0.004618361536102627
FERMENTATION-PWY	mixed acid fermentation	AB2	44020.00917017408	CN	0.004913946741685886
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	AB2	65193.62461911384	CN	0.007277554124019741
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	AB2	3156.1731713447653	CN	0.00035232311768881636
FUCCAT-PWY	fucose degradation	AB2	4009.667674571339	CN	0.0004475985756507541
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	AB2	13745.115590318095	CN	0.0015343651044694311
GALACTARDEG-PWY	D-galactarate degradation I	AB2	88.41323246288417	CN	9.869555317523082e-06
GALACTUROCAT-PWY	D-galacturonate degradation I	AB2	32450.99701903069	CN	0.0036224997239248332
GALLATE-DEGRADATION-I-PWY	gallate degradation II	AB2	0.0	CN	0.0
GALLATE-DEGRADATION-II-PWY	gallate degradation I	AB2	0.0	CN	0.0
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	AB2	20072.071064650227	CN	0.0022406421549283715
GLUCARDEG-PWY	D-glucarate degradation I	AB2	704.895442432864	CN	7.868736803714992e-05
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	AB2	88.41323246288417	CN	9.869555317523082e-06
GLUCONEO-PWY	gluconeogenesis I	AB2	74615.95370893713	CN	0.008329367247252813
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	AB2	555.3003061314945	CN	6.198808635916605e-05
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	AB2	11326.869499677612	CN	0.0012644166714339176
GLUTORN-PWY	L-ornithine biosynthesis	AB2	36698.113819106526	CN	0.004096604708333439
GLYCOCAT-PWY	glycogen degradation I (bacterial)	AB2	67721.56808609936	CN	0.007559748058026831
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	AB2	52998.55373153293	CN	0.005916220267386661
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	AB2	217.81829144549096	CN	2.4315021820880826e-05
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	AB2	74745.27293137937	CN	0.008343803131836589
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	AB2	24174.47110412468	CN	0.002698592429975709
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	AB2	1059.0015831292224	CN	0.00011821618116299583
GLYOXYLATE-BYPASS	glyoxylate cycle	AB2	297.05091118032004	CN	3.3159746774845675e-05
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	AB2	887.6425982428349	CN	9.908740446997328e-05
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	AB2	0.0	CN	0.0
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	AB2	13221.808216497591	CN	0.0014759483841424441
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	AB2	16383.799334783294	CN	0.0018289209583387139
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	AB2	446.3474393051264	CN	4.9825694868763486e-05
HISDEG-PWY	L-histidine degradation I	AB2	29267.788148032545	CN	0.0032671586153104055
HISTSYN-PWY	L-histidine biosynthesis	AB2	47983.211993996	CN	0.005356358453311684
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	AB2	4195.588716002032	CN	0.00046835291243922113
HSERMETANA-PWY	L-methionine biosynthesis III	AB2	7931.628915122764	CN	0.0008854064957836748
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	AB2	61834.08285747248	CN	0.006902529002390264
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	AB2	2066.428067844204	CN	0.0002306750421531348
KETOGLUCONMET-PWY	ketogluconate metabolism	AB2	0.3399794707867164	CN	3.7951855172361614e-08
LACTOSECAT-PWY	lactose and galactose degradation I	AB2	1720.294599590101	CN	0.00019203621720558973
LEU-DEG2-PWY	L-leucine degradation I	AB2	2534.362967983007	CN	0.0002829105418998307
LIPASYN-PWY	phospholipases	AB2	0.0	CN	0.0
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	AB2	0.0	CN	0.0
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	AB2	6372.512995790163	CN	0.0007113626294569488
METH-ACETATE-PWY	methanogenesis from acetate	AB2	7637.467936307154	CN	0.0008525693517068966
METHANOGENESIS-PWY	methanogenesis from H2 and CO2	AB2	1.6599364167887534	CN	1.8529844269572609e-07
METHGLYUT-PWY	superpathway of methylglyoxal degradation	AB2	7.841311731803675	CN	8.753244027297326e-07
METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation	AB2	0.0	CN	0.0
NAD-BIOSYNTHESIS-II	NAD salvage pathway II	AB2	96.25541251928212	CN	1.074497665119152e-05
NADSYN-PWY	NAD biosynthesis II (from tryptophan)	AB2	36.511176466957885	CN	4.075736920938414e-06
NAGLIPASYN-PWY	lipid IVA biosynthesis	AB2	53073.283180098464	CN	0.005924562304047012
NONMEVIPP-PWY	methylerythritol phosphate pathway I	AB2	67080.24854314809	CN	0.007488157657709511
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	AB2	84157.02596519442	CN	0.009394435651590897
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	AB2	43907.05658078339	CN	0.004901337861790935
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	AB2	6.414055944562489	CN	7.160000623336805e-07
ORNDEG-PWY	superpathway of ornithine degradation	AB2	3.999298117551272	CN	4.4644102362175524e-07
P101-PWY	ectoine biosynthesis	AB2	0.0	CN	0.0
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	AB2	796.3146664840878	CN	8.889248172572999e-05
P108-PWY	pyruvate fermentation to propanoate I	AB2	30855.183940805386	CN	0.0034443593594880592
P122-PWY	heterolactic fermentation	AB2	24057.75856953773	CN	0.0026855638279863203
P124-PWY	Bifidobacterium shunt	AB2	31795.320179378108	CN	0.0035493066208213304
P125-PWY	superpathway of (R,R)-butanediol biosynthesis	AB2	345.86599482583813	CN	3.860896693056399e-05
P161-PWY	acetylene degradation	AB2	29957.14600401404	CN	0.0033441115250010976
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	AB2	783.2490520866925	CN	8.743396923319497e-05
P163-PWY	L-lysine fermentation to acetate and butanoate	AB2	580.5816278143998	CN	6.481023634620872e-05
P164-PWY	purine nucleobases degradation I (anaerobic)	AB2	11573.532960685605	CN	0.0012919516750234772
P184-PWY	protocatechuate degradation I (meta-cleavage pathway)	AB2	0.0	CN	0.0
P221-PWY	octane oxidation	AB2	15.995302702312255	CN	1.7855531399925857e-06
P23-PWY	reductive TCA cycle I	AB2	24027.153109597777	CN	0.002682147345278006
P241-PWY	coenzyme B biosynthesis	AB2	1.728606356968215	CN	1.9296405738226878e-07
P261-PWY	coenzyme M biosynthesis I	AB2	3.995377313901076	CN	4.4600334492325273e-07
P281-PWY	3-phenylpropanoate degradation	AB2	7.861818713320221	CN	8.776135938704132e-07
P341-PWY	glycolysis V (Pyrococcus)	AB2	0.0	CN	0.0
P381-PWY	adenosylcobalamin biosynthesis II (late cobalt incorporation)	AB2	80.92666511374561	CN	9.033830974770386e-06
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	AB2	15010.003410310226	CN	0.0016755643340656825
P42-PWY	incomplete reductive TCA cycle	AB2	74175.71942845959	CN	0.008280223963348257
P441-PWY	superpathway of N-acetylneuraminate degradation	AB2	28313.17292457856	CN	0.003160595067158448
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	AB2	9589.69387267863	CN	0.001070496027777813
P562-PWY	myo-inositol degradation I	AB2	86.53426864005165	CN	9.6598068797329e-06
P621-PWY	nylon-6 oligomer degradation	AB2	0.0	CN	0.0
PANTO-PWY	phosphopantothenate biosynthesis I	AB2	56920.5477911821	CN	0.006354031851110332
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	AB2	62540.495296184585	CN	0.006981385712484902
PENTOSE-P-PWY	pentose phosphate pathway	AB2	32959.58151517725	CN	0.0036792729317188166
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	AB2	73889.4851620593	CN	0.008248271676939157
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	AB2	65584.84474510101	CN	0.00732122596552129
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	AB2	5031.447631475153	CN	0.0005616597124973457
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	AB2	6482.664560882187	CN	0.000723658831447345
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	AB2	63669.53496314032	CN	0.007107420233995869
PPGPPMET-PWY	ppGpp biosynthesis	AB2	1288.5700515299454	CN	0.00014384287340039526
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	AB2	18.48669714853225	CN	2.063667112525605e-06
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	AB2	36360.5619620567	CN	0.004058923847302999
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I	AB2	48831.05350209495	CN	0.0054510028683112995
PWY-1361	benzoyl-CoA degradation I (aerobic)	AB2	0.0	CN	0.0
PWY-1541	superpathway of taurine degradation	AB2	44.76908247201311	CN	4.9975656772618875e-06
PWY-1622	formaldehyde assimilation I (serine pathway)	AB2	126.73186263803024	CN	1.4147058013333648e-05
PWY-181	photorespiration	AB2	445.1529606364641	CN	4.9692355401722596e-05
PWY-1861	formaldehyde assimilation II (RuMP Cycle)	AB2	4505.380002342959	CN	0.0005029348653014463
PWY-1882	superpathway of C1 compounds oxidation to CO2	AB2	0.0	CN	0.0
PWY-2941	L-lysine biosynthesis II	AB2	28806.595908899933	CN	0.0032156757977576996
PWY-2942	L-lysine biosynthesis III	AB2	77715.18595386427	CN	0.008675334058227636
PWY-3001	superpathway of L-isoleucine biosynthesis I	AB2	65355.81805336606	CN	0.007295659751728392
PWY-3661	glycine betaine degradation I	AB2	262.72449038907894	CN	2.9327893788428162e-05
PWY-3781	aerobic respiration I (cytochrome c)	AB2	24046.341155880305	CN	0.0026842893038847124
PWY-3801	sucrose degradation II (sucrose synthase)	AB2	0.0	CN	0.0
PWY-4361	S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	AB2	0.0	CN	0.0
PWY-4984	urea cycle	AB2	9388.556254825457	CN	0.0010480430669422267
PWY-5005	biotin biosynthesis II	AB2	63.09793945561395	CN	7.043613116852544e-06
PWY-5022	4-aminobutanoate degradation V	AB2	2280.748702431062	CN	0.0002545996210857016
PWY-5028	L-histidine degradation II	AB2	19.99197434315119	CN	2.2317009704295593e-06
PWY-5088	L-glutamate degradation VIII (to propanoate)	AB2	25.3434754080454	CN	2.829088197663103e-06
PWY-5097	L-lysine biosynthesis VI	AB2	76079.89706765956	CN	0.008492787015517672
PWY-5100	pyruvate fermentation to acetate and lactate II	AB2	74227.93590762919	CN	0.008286052880754562
PWY-5101	L-isoleucine biosynthesis II	AB2	66911.65516872874	CN	0.0074693376056805556
PWY-5103	L-isoleucine biosynthesis III	AB2	56817.92147043818	CN	0.006342575690970037
PWY-5104	L-isoleucine biosynthesis IV	AB2	64226.54159433206	CN	0.007169598797154748
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	AB2	67306.33774766682	CN	0.007513395960263704
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	AB2	36390.903384589394	CN	0.004062310855556819
PWY-5177	glutaryl-CoA degradation	AB2	2232.19256251402	CN	0.0002491793067779104
PWY-5178	toluene degradation IV (aerobic) (via catechol)	AB2	0.0	CN	0.0
PWY-5180	toluene degradation I (aerobic) (via o-cresol)	AB2	0.0	CN	0.0
PWY-5181	toluene degradation III (aerobic) (via p-cresol)	AB2	10.81887048296695	CN	1.207708820617831e-06
PWY-5182	toluene degradation II (aerobic) (via 4-methylcatechol)	AB2	0.0	CN	0.0
PWY-5183	superpathway of aerobic toluene degradation	AB2	0.0	CN	0.0
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	AB2	19863.23013206881	CN	0.002217329274273989
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	AB2	18139.77757925581	CN	0.0020249405352438334
PWY-5198	factor 420 biosynthesis	AB2	1.0909090909090908	CN	1.2177801126812077e-07
PWY-5265	peptidoglycan biosynthesis II (staphylococci)	AB2	234.93809360092789	CN	2.6226102659024225e-05
PWY-5304	superpathway of sulfur oxidation (Acidianus ambivalens)	AB2	5336.52	CN	0.0005957148933015059
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	AB2	8745.166540795994	CN	0.0009762215737510933
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	AB2	9194.311788696128	CN	0.001026359587555915
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	AB2	3614.83773233957	CN	0.0004035237709261699
PWY-5415	catechol degradation I (meta-cleavage pathway)	AB2	0.0	CN	0.0
PWY-5417	catechol degradation III (ortho-cleavage pathway)	AB2	8.863636363636363	CN	9.894463415534813e-07
PWY-5419	catechol degradation to 2-oxopent-4-enoate II	AB2	0.0	CN	0.0
PWY-5420	catechol degradation II (meta-cleavage pathway)	AB2	0.0	CN	0.0
PWY-5430	meta cleavage pathway of aromatic compounds	AB2	0.0	CN	0.0
PWY-5431	aromatic compounds degradation via &beta;-ketoadipate	AB2	8.863636363636363	CN	9.894463415534813e-07
PWY-5484	glycolysis II (from fructose 6-phosphate)	AB2	68331.70911030585	CN	0.0076278580051710445
PWY-5505	L-glutamate and L-glutamine biosynthesis	AB2	23825.404961266937	CN	0.0026596262310206466
PWY-5507	adenosylcobalamin biosynthesis I (early cobalt insertion)	AB2	531.2539023662271	CN	5.930379006620524e-05
PWY-5509	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I	AB2	35236.183322342105	CN	0.003933409635534267
PWY-5529	superpathway of bacteriochlorophyll a biosynthesis	AB2	0.0	CN	0.0
PWY-5531	chlorophyllide a biosynthesis II (anaerobic)	AB2	0.0	CN	0.0
PWY-5532	adenosine nucleotides degradation IV	AB2	2.8287841191067	CN	3.157767289706854e-07
PWY-5647	2-nitrobenzoate degradation I	AB2	0.0	CN	0.0
PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	AB2	22.824609477720653	CN	2.547907587654295e-06
PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate	AB2	0.0	CN	0.0
PWY-5655	L-tryptophan degradation IX	AB2	0.0	CN	0.0
PWY-5659	GDP-mannose biosynthesis	AB2	73600.3873985283	CN	0.00821599973879303
PWY-5667	CDP-diacylglycerol biosynthesis I	AB2	72618.04902888298	CN	0.008106341460165903
PWY-5676	acetyl-CoA fermentation to butanoate II	AB2	4418.398539700874	CN	0.0004932251382251796
PWY-5677	succinate fermentation to butanoate	AB2	161.54332669415595	CN	1.803305630357975e-05
PWY-5686	UMP biosynthesis	AB2	80061.13822666915	CN	0.0089372123436804
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	AB2	72157.29111330929	CN	0.008054907126084178
PWY-5705	allantoin degradation to glyoxylate III	AB2	60.14986163120994	CN	6.7145196502096065e-06
PWY-5741	ethylmalonyl-CoA pathway	AB2	101.60554948609963	CN	1.1342211604370024e-05
PWY-5747	2-methylcitrate cycle II	AB2	120.3845033498398	CN	1.3438503288323588e-05
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis I	AB2	1056.2426547850682	CN	0.00011790820242326201
PWY-5838	superpathway of menaquinol-8 biosynthesis I	AB2	3468.2128026843743	CN	0.00038715605295174357
PWY-5840	superpathway of menaquinol-7 biosynthesis	AB2	3457.680690226327	CN	0.0003859803548846165
PWY-5845	superpathway of menaquinol-9 biosynthesis	AB2	2372.7501917161644	CN	0.00026486973295130955
PWY-5850	superpathway of menaquinol-6 biosynthesis I	AB2	2372.7501917161644	CN	0.00026486973295130955
PWY-5855	ubiquinol-7 biosynthesis (prokaryotic)	AB2	1524.8078665416542	CN	0.0001702140637573097
PWY-5856	ubiquinol-9 biosynthesis (prokaryotic)	AB2	1524.8078665416542	CN	0.0001702140637573097
PWY-5857	ubiquinol-10 biosynthesis (prokaryotic)	AB2	1524.8078665416542	CN	0.0001702140637573097
PWY-5860	superpathway of demethylmenaquinol-6 biosynthesis I	AB2	1604.5014916862167	CN	0.0001791102506730906
PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis	AB2	2360.895176458064	CN	0.0002635463594514319
PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis	AB2	1604.5014916862167	CN	0.0001791102506730906
PWY-5863	superpathway of phylloquinol biosynthesis	AB2	1204.4693796136978	CN	0.00013445472854247805
PWY-5896	superpathway of menaquinol-10 biosynthesis	AB2	2372.7501917161644	CN	0.00026486973295130955
PWY-5897	superpathway of menaquinol-11 biosynthesis	AB2	3058.9301452274576	CN	0.00034146789388607836
PWY-5898	superpathway of menaquinol-12 biosynthesis	AB2	3058.9301452274576	CN	0.00034146789388607836
PWY-5899	superpathway of menaquinol-13 biosynthesis	AB2	3058.9301452274576	CN	0.00034146789388607836
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	AB2	15032.917878141498	CN	0.0016781222725272954
PWY-5913	TCA cycle VI (obligate autotrophs)	AB2	36485.8380903715	CN	0.004072908401921416
PWY-5918	superpathay of heme biosynthesis from glutamate	AB2	16524.87817534807	CN	0.0018446695672550385
PWY-5920	superpathway of heme biosynthesis from glycine	AB2	5904.411585970324	CN	0.0006591085422605905
PWY-5941	glycogen degradation II (eukaryotic)	AB2	0.0	CN	0.0
PWY-5971	palmitate biosynthesis II (bacteria and plants)	AB2	58057.07684237464	CN	0.006480902411412782
PWY-5973	cis-vaccenate biosynthesis	AB2	79916.2997825706	CN	0.008921044050809367
PWY-5989	stearate biosynthesis II (bacteria and plants)	AB2	50671.930786018565	CN	0.005656499711717437
PWY-6071	superpathway of phenylethylamine degradation	AB2	0.0	CN	0.0
PWY-6107	chlorosalicylate degradation	AB2	0.0	CN	0.0
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	AB2	73661.63872146189	CN	0.008222837214396225
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	AB2	73461.2710842023	CN	0.008200470206373923
PWY-6123	inosine-5'-phosphate biosynthesis I	AB2	75423.45831637963	CN	0.008419508860338324
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	AB2	55065.69293998393	CN	0.006146974694054555
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	AB2	82121.24085313614	CN	0.0091671812778015
PWY-6141	archaetidylserine and archaetidylethanolamine biosynthesis	AB2	1.825914624555664	CN	2.0382656408011896e-07
PWY-6143	CMP-pseudaminate biosynthesis	AB2	77.32282565480217	CN	8.631534939383984e-06
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	AB2	61897.84844643445	CN	0.006909647145117132
PWY-6148	tetrahydromethanopterin biosynthesis	AB2	2.3980961031466084	CN	2.676990930817722e-07
PWY-6151	S-adenosyl-L-methionine cycle I	AB2	58998.40113534452	CN	0.006585982295072669
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	AB2	66175.78457896084	CN	0.007387192486788974
PWY-6165	chorismate biosynthesis II (archaea)	AB2	9.512872494073784	CN	1.0619204692942207e-06
PWY-6167	flavin biosynthesis II (archaea)	AB2	5.97398564322205	CN	6.668750833945626e-07
PWY-6174	mevalonate pathway II (archaea)	AB2	4.66565169278896	CN	5.20825969049449e-07
PWY-6182	superpathway of salicylate degradation	AB2	8.729016786570744	CN	9.74418779211742e-07
PWY-6185	4-methylcatechol degradation (ortho cleavage)	AB2	9.059233449477352	CN	1.0112808136667404e-06
PWY-621	sucrose degradation III (sucrose invertase)	AB2	41260.725828056864	CN	0.004605928373584954
PWY-6210	2-aminophenol degradation	AB2	0.0	CN	0.0
PWY-6263	superpathway of menaquinol-8 biosynthesis II	AB2	3020.758182154249	CN	0.0003372067636159275
PWY-6269	adenosylcobalamin salvage from cobinamide II	AB2	36122.465008186366	CN	0.00403234512156595
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	AB2	73461.2710842023	CN	0.008200470206373923
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	AB2	49075.64848245721	CN	0.005478306967729757
PWY-6317	galactose degradation I (Leloir pathway)	AB2	50809.36523420763	CN	0.005671841497682617
PWY-6338	superpathway of vanillin and vanillate degradation	AB2	0.0	CN	0.0
PWY-6339	syringate degradation	AB2	0.0	CN	0.0
PWY-6349	CDP-archaeol biosynthesis	AB2	2.6660236315408725	CN	2.9760780118928893e-07
PWY-6350	archaetidylinositol biosynthesis	AB2	2.499547838668837	CN	2.7902413445740217e-07
PWY-6353	purine nucleotides degradation II (aerobic)	AB2	21232.59646531599	CN	0.0023701914239709857
PWY-6383	mono-trans, poly-cis decaprenyl phosphate biosynthesis	AB2	0.0	CN	0.0
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	AB2	73673.00245991857	CN	0.008224105746743565
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	AB2	73632.69038637672	CN	0.00821960571627638
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	AB2	74493.0048795923	CN	0.00831564248865457
PWY-6396	superpathway of 2,3-butanediol biosynthesis	AB2	840.0800931415702	CN	9.377800946132491e-05
PWY-6397	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	AB2	0.0	CN	0.0
PWY-6467	Kdo transfer to lipid IVA III (Chlamydia)	AB2	48515.35999999999	CN	0.00541576205202719
PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)	AB2	0.0	CN	0.0
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)	AB2	35647.04740093095	CN	0.003979274328393654
PWY-6478	GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	AB2	13801.200610946273	CN	0.0015406258665539596
PWY-6505	L-tryptophan degradation XII (Geobacillus)	AB2	0.0	CN	0.0
PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate degradation	AB2	34731.43811376553	CN	0.003877065006811496
PWY-6519	8-amino-7-oxononanoate biosynthesis I	AB2	27229.00094882297	CN	0.0030395691190016486
PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	AB2	28997.831613682203	CN	0.0032370234095852215
PWY-6562	norspermidine biosynthesis	AB2	6.903684878492606	CN	7.706572636809086e-07
PWY-6565	superpathway of polyamine biosynthesis III	AB2	0.0	CN	0.0
PWY-6572	chondroitin sulfate degradation I (bacterial)	AB2	1541.8309714297832	CN	0.0001721143502946209
PWY-6588	pyruvate fermentation to acetone	AB2	8737.596727431546	CN	0.0009753765566686662
PWY-6590	superpathway of Clostridium acetobutylicum acidogenic fermentation	AB2	6981.332585019722	CN	0.0007793250650212778
PWY-6608	guanosine nucleotides degradation III	AB2	16605.716809906484	CN	0.0018536935713926797
PWY-6609	adenine and adenosine salvage III	AB2	66602.26451071918	CN	0.007434800374896327
PWY-6612	superpathway of tetrahydrofolate biosynthesis	AB2	60953.15000820218	CN	0.006804190606149109
PWY-6628	superpathway of L-phenylalanine biosynthesis	AB2	25107.733753545628	CN	0.002802772393626568
PWY-6629	superpathway of L-tryptophan biosynthesis	AB2	23.99034113354721	CN	2.6780380301465758e-06
PWY-6630	superpathway of L-tyrosine biosynthesis	AB2	23482.330276257173	CN	0.0026213288575684646
PWY-6641	superpathway of sulfolactate degradation	AB2	114.5687699872811	CN	1.27892938822787e-05
PWY-6654	phosphopantothenate biosynthesis III	AB2	3.9997603465724834	CN	4.464926221751293e-07
PWY-6660	2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis	AB2	0.0	CN	0.0
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate	AB2	0.0	CN	0.0
PWY-6700	queuosine biosynthesis	AB2	58647.60551847603	CN	0.00654682303520417
